lei;dispositivo;hierarquia;tipo;numero;artigo;paragrafo;inciso;aliena;parte;titulo;capitulo;secao;subsecao;ano
cf;"XXIII - a propriedade atenderá a sua função social;";2;i;XXIII;5;;XXIII;;;II;I;;;
cf;"XXIV - a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição;";2;i;XXIV;5;;XXIV;;;II;I;;;
cf;"XXV - no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;";2;i;XXV;5;;XXV;;;II;I;;;
cf;"XXVI - a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;";2;i;XXVI;5;;XXVI;;;II;I;;;
cf;"XXVII - aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;";2;i;XXVII;5;;XXVII;;;II;I;;;
cf;XXVIII - são assegurados, nos termos da lei:;2;i;XXVIII;5;;XXVIII;;;II;I;;;
cf;"a) a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;";1;al;a;5;;XXVIII;a;;II;I;;;
cf;"b) o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;";1;al;b;5;;XXVIII;b;;II;I;;;
cf;"XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País;";2;i;XXIX;5;;XXIX;;;II;I;;;
cf;"XXX - é garantido o direito de herança;";2;i;XXX;5;;XXX;;;II;I;;;
cf;"XXXI - a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do ""de cujus"";";2;i;XXXI;5;;XXXI;;;II;I;;;
cf;"XXXII - o Estado promoverá, na forma da lei, a defesa do consumidor;";2;i;XXXII;5;;XXXII;;;II;I;;;
cf;"XXXIII - todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da sociedade e do Estado;  (Regulamento) (Vide Lei nº 12.527, de 2011)";2;i;XXXIII;5;;XXXIII;;;II;I;;;
cf;XXXIV - são a todos assegurados, independentemente do pagamento de taxas:;2;i;XXXIV;5;;XXXIV;;;II;I;;;
cf;"a) o direito de petição aos Poderes Públicos em defesa de direitos ou contra ilegalidade ou abuso de poder;";1;al;a;5;;XXXIV;a;;II;I;;;
cf;"b) a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal;";1;al;b;5;;XXXIV;b;;II;I;;;
cf;"XXXV - a lei não excluirá da apreciação do Poder Judiciário lesão ou ameaça a direito;";2;i;XXXV;5;;XXXV;;;II;I;;;
cf;"XXXVI - a lei não prejudicará o direito adquirido, o ato jurídico perfeito e a coisa julgada;";2;i;XXXVI;5;;XXXVI;;;II;I;;;
cf;"XXXVII - não haverá juízo ou tribunal de exceção;";2;i;XXXVII;5;;XXXVII;;;II;I;;;
cf;XXXVIII - é reconhecida a instituição do júri, com a organização que lhe der a lei, assegurados:;2;i;XXXVIII;5;;XXXVIII;;;II;I;;;
cf;"a) a plenitude de defesa;";1;al;a;5;;XXXVIII;a;;II;I;;;
cf;"b) o sigilo das votações;";1;al;b;5;;XXXVIII;b;;II;I;;;
cf;"c) a soberania dos veredictos;";1;al;c;5;;XXXVIII;c;;II;I;;;
cf;"d) a competência para o julgamento dos crimes dolosos contra a vida;";1;al;d;5;;XXXVIII;d;;II;I;;;
cf;"XXXIX - não há crime sem lei anterior que o defina, nem pena sem prévia cominação legal;";2;i;XXXIX;5;;XXXIX;;;II;I;;;
cf;"XL - a lei penal não retroagirá, salvo para beneficiar o réu;";2;i;XL;5;;XL;;;II;I;;;
cf;"XLI - a lei punirá qualquer discriminação atentatória dos direitos e liberdades fundamentais;";2;i;XLI;5;;XLI;;;II;I;;;
cf;"XLII - a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena de reclusão, nos termos da lei;";2;i;XLII;5;;XLII;;;II;I;;;
cf;"XLIII - a lei considerará crimes inafiançáveis e insuscetíveis de graça ou anistia a prática da tortura , o tráfico ilícito de entorpecentes e drogas afins, o terrorismo e os definidos como crimes hediondos, por eles respondendo os mandantes, os executores e os que, podendo evitá-los, se omitirem;  (Regulamento)";2;i;XLIII;5;;XLIII;;;II;I;;;
cf;"XLIV - constitui crime inafiançável e imprescritível a ação de grupos armados, civis ou militares, contra a ordem constitucional e o Estado Democrático;";2;i;XLIV;5;;XLIV;;;II;I;;;
cf;"XLV - nenhuma pena passará da pessoa do condenado, podendo a obrigação de reparar o dano e a decretação do perdimento de bens ser, nos termos da lei, estendidas aos sucessores e contra eles executadas, até o limite do valor do patrimônio transferido;";2;i;XLV;5;;XLV;;;II;I;;;
cf;XLVI - a lei regulará a individualização da pena e adotará, entre outras, as seguintes:;2;i;XLVI;5;;XLVI;;;II;I;;;
cf;"a) privação ou restrição da liberdade;";1;al;a;5;;XLVI;a;;II;I;;;
cf;"b) perda de bens;";1;al;b;5;;XLVI;b;;II;I;;;
cf;"c) multa;";1;al;c;5;;XLVI;c;;II;I;;;
cf;"d) prestação social alternativa;";1;al;d;5;;XLVI;d;;II;I;;;
cf;"e) suspensão ou interdição de direitos;";1;al;e;5;;XLVI;e;;II;I;;;
cf;XLVII - não haverá penas:;2;i;XLVII;5;;XLVII;;;II;I;;;
cf;"a) de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;";1;al;a;5;;XLVII;a;;II;I;;;
cf;"b) de caráter perpétuo;";1;al;b;5;;XLVII;b;;II;I;;;
cf;"c) de trabalhos forçados;";1;al;c;5;;XLVII;c;;II;I;;;
cf;"d) de banimento;";1;al;d;5;;XLVII;d;;II;I;;;
cf;"e) cruéis;";1;al;e;5;;XLVII;e;;II;I;;;
cf;"XLVIII - a pena será cumprida em estabelecimentos distintos, de acordo com a natureza do delito, a idade e o sexo do apenado;";2;i;XLVIII;5;;XLVIII;;;II;I;;;
cf;"XLIX - é assegurado aos presos o respeito à integridade física e moral;";2;i;XLIX;5;;XLIX;;;II;I;;;
cf;"L - às presidiárias serão asseguradas condições para que possam permanecer com seus filhos durante o período de amamentação;";2;i;L;5;;L;;;II;I;;;
cf;"LI - nenhum brasileiro será extraditado, salvo o naturalizado, em caso de crime comum, praticado antes da naturalização, ou de comprovado envolvimento em tráfico ilícito de entorpecentes e drogas afins, na forma da lei;";2;i;LI;5;;LI;;;II;I;;;
cf;"LII - não será concedida extradição de estrangeiro por crime político ou de opinião;";2;i;LII;5;;LII;;;II;I;;;
cf;"LIII - ninguém será processado nem sentenciado senão pela autoridade competente;";2;i;LIII;5;;LIII;;;II;I;;;
cf;"LIV - ninguém será privado da liberdade ou de seus bens sem o devido processo legal;";2;i;LIV;5;;LIV;;;II;I;;;
cf;"LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados o contraditório e ampla defesa, com os meios e recursos a ela inerentes;";2;i;LV;5;;LV;;;II;I;;;
cf;"LVI - são inadmissíveis, no processo, as provas obtidas por meios ilícitos;";2;i;LVI;5;;LVI;;;II;I;;;
cf;"LVII - ninguém será considerado culpado até o trânsito em julgado de sentença penal condenatória;";2;i;LVII;5;;LVII;;;II;I;;;
cf;"LVIII - o civilmente identificado não será submetido a identificação criminal, salvo nas hipóteses previstas em lei;  (Regulamento)";2;i;LVIII;5;;LVIII;;;II;I;;;
cf;"LIX - será admitida ação privada nos crimes de ação pública, se esta não for intentada no prazo legal;";2;i;LIX;5;;LIX;;;II;I;;;
cf;"LX - a lei só poderá restringir a publicidade dos atos processuais quando a defesa da intimidade ou o interesse social o exigirem;";2;i;LX;5;;LX;;;II;I;;;
cf;"LXI - ninguém será preso senão em flagrante delito ou por ordem escrita e fundamentada de autoridade judiciária competente, salvo nos casos de transgressão militar ou crime propriamente militar, definidos em lei;";2;i;LXI;5;;LXI;;;II;I;;;
cf;"LXII - a prisão de qualquer pessoa e o local onde se encontre serão comunicados imediatamente ao juiz competente e à família do preso ou à pessoa por ele indicada;";2;i;LXII;5;;LXII;;;II;I;;;
cf;"LXIII - o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado;";2;i;LXIII;5;;LXIII;;;II;I;;;
cf;"LXIV - o preso tem direito à identificação dos responsáveis por sua prisão ou por seu interrogatório policial;";2;i;LXIV;5;;LXIV;;;II;I;;;
cf;"LXV - a prisão ilegal será imediatamente relaxada pela autoridade judiciária;";2;i;LXV;5;;LXV;;;II;I;;;
cf;"LXVI - ninguém será levado à prisão ou nela mantido, quando a lei admitir a liberdade provisória, com ou sem fiança;";2;i;LXVI;5;;LXVI;;;II;I;;;
cf;"LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e inescusável de obrigação alimentícia e a do depositário infiel;";2;i;LXVII;5;;LXVII;;;II;I;;;
cf;"LXVIII - conceder-se-á habeas corpus sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder;";2;i;LXVIII;5;;LXVIII;;;II;I;;;
cf;"LXIX - conceder-se-á mandado de segurança para proteger direito líquido e certo, não amparado por habeas corpus ou habeas data, quando o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do Poder Público;";2;i;LXIX;5;;LXIX;;;II;I;;;
cf;LXX - o mandado de segurança coletivo pode ser impetrado por:;2;i;LXX;5;;LXX;;;II;I;;;
cf;"a) partido político com representação no Congresso Nacional;";1;al;a;5;;LXX;a;;II;I;;;
cf;"b) organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados;";1;al;b;5;;LXX;b;;II;I;;;
cf;"LXXI - conceder-se-á mandado de injunção sempre que a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania;";2;i;LXXI;5;;LXXI;;;II;I;;;
cf;LXXII - conceder-se-á habeas data:;2;i;LXXII;5;;LXXII;;;II;I;;;
cf;"a) para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público;";1;al;a;5;;LXXII;a;;II;I;;;
cf;"b) para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso, judicial ou administrativo;";1;al;b;5;;LXXII;b;;II;I;;;
cf;"LXXIII - qualquer cidadão é parte legítima para propor ação popular que vise a anular ato lesivo ao patrimônio público ou de entidade de que o Estado participe, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural, ficando o autor, salvo comprovada má-fé, isento de custas judiciais e do ônus da sucumbência;";2;i;LXXIII;5;;LXXIII;;;II;I;;;
cf;"LXXIV - o Estado prestará assistência jurídica integral e gratuita aos que comprovarem insuficiência de recursos;";2;i;LXXIV;5;;LXXIV;;;II;I;;;
cf;"LXXV - o Estado indenizará o condenado por erro judiciário, assim como o que ficar preso além do tempo fixado na sentença;";2;i;LXXV;5;;LXXV;;;II;I;;;
cf;LXXVI - são gratuitos para os reconhecidamente pobres, na forma da lei:  (Vide Lei nº 7.844, de 1989);2;i;LXXVI;5;;LXXVI;;;II;I;;;
cf;"a) o registro civil de nascimento;";1;al;a;5;;LXXVI;a;;II;I;;;
cf;"b) a certidão de óbito;";1;al;b;5;;LXXVI;b;;II;I;;;
cf;LXXVII - são gratuitas as ações de habeas corpus e habeas data, e, na forma da lei, os atos necessários ao exercício da cidadania.  (Regulamento);2;i;LXXVII;5;;LXXVII;;;II;I;;;
cf;LXXVIII - a todos, no âmbito judicial e administrativo, são assegurados a razoável duração do processo e os meios que garantam a celeridade de sua tramitação.   ;2;i;LXXVIII;5;;LXXVIII;;;II;I;;;2004
cf;LXXIX - é assegurado, nos termos da lei, o direito à proteção dos dados pessoais, inclusive nos meios digitais.  ;2;i;LXXIX;5;;LXXIX;;;II;I;;;2022
cf;§ 1º As normas definidoras dos direitos e garantias fundamentais têm aplicação imediata.;3;p;1;5;1;;;;II;I;;;
cf;§ 2º Os direitos e garantias expressos nesta Constituição não excluem outros decorrentes do regime e dos princípios por ela adotados, ou dos tratados internacionais em que a República Federativa do Brasil seja parte.;3;p;2;5;2;;;;II;I;;;
cf;§ 3º Os tratados e convenções internacionais sobre direitos humanos que forem aprovados, em cada Casa do Congresso Nacional, em dois turnos, por três quintos dos votos dos respectivos membros, serão equivalentes às emendas constitucionais.  ;3;p;3;5;3;;;;II;I;;;2004
cf;§ 4º O Brasil se submete à jurisdição de Tribunal Penal Internacional a cuja criação tenha manifestado adesão.  ;3;p;4;5;4;;;;II;I;;;2004
cf;CAPÍTULO II: DOS DIREITOS SOCIAIS;7;c;II;;;;;;II;II;;;
cf;Art. 6º São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, a assistência aos desamparados, na forma desta Constituição.  ;4;a;6;6;;;;;II;II;;;2015
cf;Parágrafo único. Todo brasileiro em situação de vulnerabilidade social terá direito a uma renda básica familiar, garantida pelo poder público em programa permanente de transferência de renda, cujas normas e requisitos de acesso serão determinados em lei, observada a legislação fiscal e orçamentária  ;3;pu;pu;6;;;;;II;II;;;2021
cf;Art. 7º São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social:;4;a;7;7;;;;;II;II;;;
cf;"I - relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos;";2;i;I;7;;I;;;II;II;;;
cf;"II - seguro-desemprego, em caso de desemprego involuntário;";2;i;II;7;;II;;;II;II;;;
cf;"III - fundo de garantia do tempo de serviço;";2;i;III;7;;III;;;II;II;;;
cf;"IV - salário mínimo , fixado em lei, nacionalmente unificado, capaz de atender a suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;";2;i;IV;7;;IV;;;II;II;;;
cf;"V - piso salarial proporcional à extensão e à complexidade do trabalho;";2;i;V;7;;V;;;II;II;;;
cf;"VI - irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;";2;i;VI;7;;VI;;;II;II;;;
cf;"VII - garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável;";2;i;VII;7;;VII;;;II;II;;;
cf;"VIII - décimo terceiro salário com base na remuneração integral ou no valor da aposentadoria;";2;i;VIII;7;;VIII;;;II;II;;;
cf;"IX – remuneração do trabalho noturno superior à do diurno;";2;i;IX;7;;IX;;;II;II;;;
cf;"X - proteção do salário na forma da lei, constituindo crime sua retenção dolosa;";2;i;X;7;;X;;;II;II;;;
cf;"XI – participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcionalmente, participação na gestão da empresa, conforme definido em lei;";2;i;XI;7;;XI;;;II;II;;;
cf;"XII - salário-família pago em razão do dependente do trabalhador de baixa renda nos termos da lei;   ";2;i;XII;7;;XII;;;II;II;;;1998
cf;"XIII - duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho;  (Vide Decreto-Lei nº 5.452, de 1943)";2;i;XIII;7;;XIII;;;II;II;;;
cf;"XIV - jornada de seis horas para o trabalho realizado em turnos ininterruptos de revezamento, salvo negociação coletiva;";2;i;XIV;7;;XIV;;;II;II;;;
cf;"XV - repouso semanal remunerado, preferencialmente aos domingos;";2;i;XV;7;;XV;;;II;II;;;
cf;"XVI - remuneração do serviço extraordinário superior, no mínimo, em cinqüenta por cento à do normal;  (Vide Del 5.452, art. 59 § 1º)";2;i;XVI;7;;XVI;;;II;II;;;
cf;"XVII - gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal;";2;i;XVII;7;;XVII;;;II;II;;;
cf;"XVIII - licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias;";2;i;XVIII;7;;XVIII;;;II;II;;;
cf;"XIX - licença-paternidade, nos termos fixados em lei;";2;i;XIX;7;;XIX;;;II;II;;;
cf;"XX - proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei;";2;i;XX;7;;XX;;;II;II;;;
cf;"XXI - aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta dias, nos termos da lei;";2;i;XXI;7;;XXI;;;II;II;;;
cf;"XXII - redução dos riscos inerentes ao trabalho, por meio de normas de saúde, higiene e segurança;";2;i;XXII;7;;XXII;;;II;II;;;
cf;"XXIII - adicional de remuneração para as atividades penosas, insalubres ou perigosas, na forma da lei;";2;i;XXIII;7;;XXIII;;;II;II;;;
cf;"XXIV - aposentadoria;";2;i;XXIV;7;;XXIV;;;II;II;;;
cf;"XXV - assistência gratuita aos filhos e dependentes desde o nascimento até 5 (cinco) anos de idade em creches e pré-escolas;  ";2;i;XXV;7;;XXV;;;II;II;;;2006
cf;"XXVI - reconhecimento das convenções e acordos coletivos de trabalho;";2;i;XXVI;7;;XXVI;;;II;II;;;
cf;"XXVII - proteção em face da automação, na forma da lei;";2;i;XXVII;7;;XXVII;;;II;II;;;
cf;"XXVIII - seguro contra acidentes de trabalho, a cargo do empregador, sem excluir a indenização a que este está obrigado, quando incorrer em dolo ou culpa;";2;i;XXVIII;7;;XXVIII;;;II;II;;;
cf;"XXIX - ação, quanto aos créditos resultantes das relações de trabalho, com prazo prescricional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois anos após a extinção do contrato de trabalho;  ";2;i;XXIX;7;;XXIX;;;II;II;;;2000
cf;a) (Revogada).  ;1;al;a;7;;XXIX;a;;II;II;;;2000
cf;b) (Revogada).  ;1;al;b;7;;XXIX;b;;II;II;;;2000
cf;"XXX - proibição de diferença de salários, de exercício de funções e de critério de admissão por motivo de sexo, idade, cor ou estado civil;";2;i;XXX;7;;XXX;;;II;II;;;
cf;"XXXI - proibição de qualquer discriminação no tocante a salário e critérios de admissão do trabalhador portador de deficiência;";2;i;XXXI;7;;XXXI;;;II;II;;;
cf;"XXXII - proibição de distinção entre trabalho manual, técnico e intelectual ou entre os profissionais respectivos;";2;i;XXXII;7;;XXXII;;;II;II;;;
cf;"XXXIII - proibição de trabalho noturno, perigoso ou insalubre a menores de dezoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, a partir de quatorze anos;  ";2;i;XXXIII;7;;XXXIII;;;II;II;;;1998
cf;XXXIV - igualdade de direitos entre o trabalhador com vínculo empregatício permanente e o trabalhador avulso.;2;i;XXXIV;7;;XXXIV;;;II;II;;;
cf;Parágrafo único. São assegurados à categoria dos trabalhadores domésticos os direitos previstos nos incisos IV, VI, VII, VIII, X, XIII, XV, XVI, XVII, XVIII, XIX, XXI, XXII, XXIV, XXVI, XXX, XXXI e XXXIII e, atendidas as condições estabelecidas em lei e observada a simplificação do cumprimento das obrigações tributárias, principais e acessórias, decorrentes da relação de trabalho e suas peculiaridades, os previstos nos incisos I, II, III, IX, XII, XXV e XXVIII, bem como a sua integração à previdência social.  ;3;pu;pu;7;;;;;II;II;;;2013
cf;Art. 8º É livre a associação profissional ou sindical, observado o seguinte:;4;a;8;8;;;;;II;II;;;
cf;"I - a lei não poderá exigir autorização do Estado para a fundação de sindicato, ressalvado o registro no órgão competente, vedadas ao Poder Público a interferência e a intervenção na organização sindical;";2;i;I;8;;I;;;II;II;;;
cf;"II - é vedada a criação de mais de uma organização sindical, em qualquer grau, representativa de categoria profissional ou econômica, na mesma base territorial, que será definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um Município;";2;i;II;8;;II;;;II;II;;;
cf;"III - ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais da categoria, inclusive em questões judiciais ou administrativas;";2;i;III;8;;III;;;II;II;;;
cf;"IV - a assembléia geral fixará a contribuição que, em se tratando de categoria profissional, será descontada em folha, para custeio do sistema confederativo da representação sindical respectiva, independentemente da contribuição prevista em lei;";2;i;IV;8;;IV;;;II;II;;;
cf;"V - ninguém será obrigado a filiar-se ou a manter-se filiado a sindicato;";2;i;V;8;;V;;;II;II;;;
cf;"VI - é obrigatória a participação dos sindicatos nas negociações coletivas de trabalho;";2;i;VI;8;;VI;;;II;II;;;
cf;"VII - o aposentado filiado tem direito a votar e ser votado nas organizações sindicais;";2;i;VII;8;;VII;;;II;II;;;
